record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,,,,DJY,ZU,11500,VDHW,N31024200,E107254800,,N31024200,E107254800,W0030,01404,2,,,WGE,JINYA,S,Simulation application continuation,UN,W0033,01404,71767,2506,SEEUD        DJY   ZU111500VDHW N31024200E107254800    N31024200E107254800W0030014042     WGEJINYA                         ,SEEUD        DJY   ZU2S    UN                                             W003301404                                       
S,EEU,D,,,,,DYK,ZH,11120,VDLW,N30200000,E109285400,,N30200000,E109285400,W0030,01762,1,,,WGE,DAYAKOU,S,Simulation application continuation,UY,W0037,01762,71817,2507,SEEUD        DYK   ZH111120VDLW N30200000E109285400    N30200000E109285400W0030017621     WGEDAYAKOU                       ,SEEUD        DYK   ZH2S    UY                                             W003701762                                       
S,EEU,D,,,,,JSG,ZL,11610,VDHW,N39504200,E098212400,,N39504200,E098212400,W0010,05108,2,,531,WGE,JIAYUGUAN,S,Simulation application continuation,UN,W0014,05108,72039,2505,SEEUD        JSG   ZL111610VDHW N39504200E098212400    N39504200E098212400W0010051082  531WGEJIAYUGUAN                     ,SEEUD        JSG   ZL2S    UN                                             W001405108                                       
S,EEU,D,,,,,MNK,UT,11460,VDHW,N43450750,E059020710,,N43450750,E059020710,E0080,00200,2,,416,WGE,MNK,S,Simulation application continuation,UN,E0076,00200,72297,2510,SEEUD        MNK   UT111460VDHW N43450750E059020710    N43450750E059020710E0080002002  416WGEMNK                           ,SEEUD        MNK   UT2S    UN                                             E007600200                                       
S,EEU,D,,,,,MZL,ZB,11310,VDHW,N49194200,E117384200,,N49194200,E117384200,W0100,02231,2,,273,WGE,MANZHOULI,S,Simulation application continuation,UN,W0103,02231,72335,2305,SEEUD        MZL   ZB111310VDHW N49194200E117384200    N49194200E117384200W0100022312  273WGEMANZHOULI                     ,SEEUD        MZL   ZB2S    UN                                             W010302231                                       
S,EEU,D,,,,,SNF,ZH,11215,VDHW,N31043000,E109424200,,N31043000,E109424200,W0040,05837,2,,,WGE,WUSHAN,S,Simulation application continuation,UY,W0039,05837,72663,2506,SEEUD        SNF   ZH111215VDHW N31043000E109424200    N31043000E109424200W0040058372     WGEWUSHAN                        ,SEEUD        SNF   ZH2S    UY                                             W003905837                                       
S,EEU,D,,,,,TVS,UT,11270,VDLW,N41183037,E069214684,,N41183037,E069214684,E0060,01600,1,,263,WGE,TASHKENT,S,Simulation application continuation,UN,E0056,01600,72817,2510,SEEUD        TVS   UT111270VDLW N41183037E069214684    N41183037E069214684E0060016001  263WGETASHKENT                      ,SEEUD        TVS   UT2S    UN                                             E005601600                                       
S,EEU,D,,,,,WUQ,ZG,11625,VDHW,N21291800,E110415400,,N21291800,E110415400,W0020,00135,2,,,WGE,WUCHUAN,S,Simulation application continuation,UN,W0025,00135,72931,2508,SEEUD        WUQ   ZG111625VDHW N21291800E110415400    N21291800E110415400W0020001352     WGEWUCHUAN                       ,SEEUD        WUQ   ZG2S    UN                                             W002500135                                       
S,EEU,D,,,,,XFG,ZL,11445,VDHW,N35470000,E107371800,,N35470000,E107371800,W0030,04639,2,,441,WGE,QINGYANG,S,Simulation application continuation,UN,W0040,04639,72949,2507,SEEUD        XFG   ZL111445VDHW N35470000E107371800    N35470000E107371800W0030046392  441WGEQINGYANG                      ,SEEUD        XFG   ZL2S    UN                                             W004004639                                       
S,EEU,D,,,,,ZAO,ZG,11720,VDHW,N22144200,E113364200,,N22144200,E113364200,W0030,00155,2,,,WGE,JIUZHOU,S,Simulation application continuation,UN,W0032,00155,73005,2201,SEEUD        ZAO   ZG111720VDHW N22144200E113364200    N22144200E113364200W0030001552     WGEJIUZHOU                       ,SEEUD        ZAO   ZG2S    UN                                             W003200155                                       
S,EEU,D,,,,,ZMN,UT,11650,VDHW,N40005140,E068242210,,N40005140,E068242210,E0050,01800,2,,,WGE,ZAAMIN,S,Simulation application continuation,UN,E0053,01800,73021,2505,SEEUD        ZMN   UT111650VDHW N40005140E068242210    N40005140E068242210E0050018002     WGEZAAMIN                        ,SEEUD        ZMN   UT2S    UN                                             E005301800                                       
